address,within_academy,#_of_academy_within,within_education_centres,#_of_education_centres_within,within_highschool,#_of_highschool_within,within_elementary school,#_of_elementary school_within,within_college,#_of_college_within,within_learning centre,#_of_learning centre_within,within_university,#_of_university_within,within_subway_station,#_of_subway_station_within,within_cemetery,#_of_cemetery_within,within_green_space,#_of_green_space_within
7-boot-terrace,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,8
32-lafferty-street,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,4
16-mooregate-avenue,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,6
39-san-remo-terrace,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,6
9-elward-boulevard,1,1,1,1,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,9
227-windermere-avenue,0,0,1,2,0,0,1,2,0,0,0,0,0,0,1,2,0,0,1,15
8-palace-arch-drive,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
32-golden-avenue,1,1,1,3,1,1,1,4,0,0,0,0,0,0,1,2,0,0,1,8
28-cormier-heights,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,4
29-lavender-road,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,7
22-gander-drive,0,0,1,2,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,2
307-brookdale-avenue,1,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,4
31-avening-drive,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6
556-midland-avenue,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,4
37-kilmarnock-avenue,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,5
8-delia-court,0,0,1,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
38-gradwell-drive,1,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,5
19-glenelia-avenue,0,0,1,2,1,1,1,3,1,2,0,0,0,0,0,0,0,0,1,14
12-robson-place,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,6
8-regency-square,0,0,1,1,1,1,1,4,0,0,1,1,0,0,0,0,0,0,1,5
688-st-clarens-avenue,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0,1,15
202-perth-avenue,1,1,1,1,1,1,1,4,0,0,0,0,0,0,1,2,0,0,1,8
1201-dovercourt-road,0,0,1,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,10
1190-dovercourt-road,0,0,1,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,11
149-centennial-road,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,5
245-murray-ross-parkway,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,4
68-clubhouse-court,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,5
38-wareside-road,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,4
36-mimico-avenue,0,0,1,5,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,13
61-otonabee-avenue,1,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
204-harvie-avenue,0,0,1,1,0,0,1,4,1,1,0,0,0,0,0,0,1,1,1,6
337-pleasant-avenue,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,1,3,1,3
28-guild-hall-drive,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,2
97-neilson-avenue,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,6
243-poplar-plains-road,1,1,1,5,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,14
88-silvio-avenue,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,4
35-northcrest-road,0,0,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,5
281-conlins-road,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
4-corner-lane,1,2,1,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,3
105-fieldwood-drive,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,4
20-fairview-avenue,1,1,1,6,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,10
19-mcmillan-avenue,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,4
46-gibson-avenue,1,1,1,4,0,0,1,2,1,1,0,0,0,0,1,4,0,0,1,20
77-northcote-avenue,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,10
22-comrie-terrace,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,2,1,4
46-james-street,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
38-hearth-place,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,5
92-shelborne-avenue,1,1,1,8,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,7
76-tangle-briarway,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,6
31-wascana-avenue,0,0,1,5,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,22
53-gihon-spring-drive,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,7
25-annan-drive,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,8
39-creekwood-drive,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,4
432-vaughan-road,0,0,1,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,10
38-emerson-avenue,0,0,1,4,0,0,1,5,0,0,0,0,0,0,1,2,0,0,1,7
21-gracedale-boulevard,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3
14-killamarsh-drive,0,0,1,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,5
30-commonwealth-avenue,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,4
1-greencoat-road,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4
5-mid-pines-road,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1
8-walsh-avenue,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5
359-brock-avenue,0,0,1,5,1,1,1,3,0,0,0,0,0,0,1,1,0,0,1,8
11-hayes-lane,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,7
140-toynbee-trail,0,0,1,1,1,1,1,5,0,0,1,1,0,0,0,0,0,0,1,5
83-newton-drive,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
123-seminole-avenue,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,6
75-greensides-avenue,0,0,1,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,9
101-overture-road,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,6
281-major-street,1,1,1,5,0,0,1,3,1,4,0,0,0,0,1,4,0,0,1,16
107-autumn-glen-circle,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,5
155-grenadier-road,1,1,1,2,1,1,1,5,0,0,0,0,0,0,1,1,0,0,1,3
109-brookside-avenue,0,0,1,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,7
1846-dufferin-street,0,0,1,1,0,0,1,3,1,2,0,0,0,0,0,0,1,1,1,6
617-vesta-drive,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,4,1,8
12-caddy-drive,0,0,1,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,3
2283-weston-road,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,1,14
3-pamcrest-drive,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,6
73-roseneath-gardens,0,0,1,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,8
36-downsview-avenue,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,10
41-fermanagh-avenue,0,0,1,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,9
80-laws-street,1,1,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,10
198-hillcrest-avenue,1,3,1,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,11
85-courcelette-road,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,7
6-montressor-drive,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,8
46-craiglee-drive,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,7
145-marlborough-place,1,1,1,5,0,0,1,3,1,1,0,0,0,0,1,2,1,1,1,16
15-falmouth-avenue,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,4
191-downsview-park-boulevard,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,1,1,3
221-ridgewood-road,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3
18-trelevan-place,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2
1-sudbury-hall-drive,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,7
41-cleta-drive,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2
113-natal-avenue,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,4
67-spring-forest-square,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0
93-ruby-lang-lane,0,0,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,6
127-burnhamthorpe-road,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2
164-apache-trail,1,3,1,3,1,4,1,3,0,0,0,0,0,0,0,0,0,0,1,4
89-snider-avenue,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4
93-overture-road,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,6
42-alameda-avenue,0,0,1,6,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,7
215-hillhurst-boulevard,0,0,1,5,0,0,1,1,0,0,0,0,0,0,0,0,1,4,1,6
37-duncannon-drive,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,5
53-kilsyth-drive,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,5
210-aileen-avenue,0,0,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,6
8-gem-place,1,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3
12-clappison-boulevard,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,5
50-kilpatrick-drive,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,2
27-thames-avenue,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4
61-fern-avenue,0,0,1,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,11
52-lionhead-trail,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3
147-frank-rivers-drive,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2
30-glenorchy-road,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
9-bramber-road,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,6
62-greenock-avenue,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,6
18-provence-trail,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3
77-nash-drive,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,4
15-barrie-avenue,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,7
55-poynter-drive,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
12-innisdale-drive,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,4
38-scotia-avenue,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,9
6-kenny-avenue,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,7
43-moorefield-drive,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,6
46-warwood-road,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
133-cabana-drive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
76-kearney-drive,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
10-needham-drive,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3
10-townsend-road,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1
96-alcorn-avenue,0,0,1,3,0,0,1,2,1,1,0,0,0,0,1,3,1,1,1,17
36-eastville-avenue,1,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,5
73-howell-square,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2
25-mooreshead-drive,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5
15-haddon-avenue,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,6
32-longbourne-drive,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4
41-westdale-drive,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,4
893-runnymede-road,0,0,1,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,11
5-danville-drive,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,7
92-overture-road,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,6
1292-kingston-road,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,7
197-lambton-avenue,0,0,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,10
61-stephen-drive,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
61-haverson-boulevard,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1,2,1,5
376-danforth-road,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,4
7-westacres-drive,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,6
186-santamonica-boulevard,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,8
437-cranbrooke-avenue,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,9
75-harvie-avenue,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,1,1,1,5
25-goldberry-square,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,4
51-government-road,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,10
83-bicknell-avenue,0,0,1,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,5
292-manning-avenue,0,0,1,4,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,8
318-fairlawn-avenue,1,1,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,5
18-sawley-drive,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,7
56-fishleigh-drive,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
30-turnvale-road,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,6
78-sixth-street,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,11
78-lunness-road,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4
34-gibson-avenue,1,1,1,4,0,0,1,2,1,1,0,0,0,0,1,4,0,0,1,21
152-bartlett-avenue,0,0,1,2,1,1,1,4,0,0,0,0,0,0,1,1,0,0,1,11
24-leahurst-drive,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3
75-laurel-avenue,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,4
43-nordin-avenue,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2
76-craiglee-drive,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,7
51-falaise-road,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,3
37-foch-avenue,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
25-james-park-square,0,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,5
15-neapolitan-drive,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3
145-fourth-street,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,9
60-hay-avenue,0,0,1,4,0,0,1,2,1,1,0,0,0,0,0,0,1,1,1,6
174-edmonton-drive,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,6
37-lynn-road,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,10
416-sumach-street,0,0,1,3,0,0,1,3,1,1,0,0,0,0,1,1,1,2,1,16
99-bobmar-road,0,0,1,1,0,0,1,3,0,0,0,0,1,1,0,0,0,0,1,5
119b-simpson-avenue,0,0,1,4,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,3
720-merton-street,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,7
131-humberside-avenue,0,0,1,3,0,0,1,4,1,1,0,0,0,0,1,1,0,0,1,8
167a-hallmark-avenue,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
14-benshire-drive,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,3
40-superior-creek-lane,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,6
3-rosemarie-drive,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2
14-keyworth-trail,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,4
282-earlscourt-avenue,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,4
19-vanguard-drive,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5
19-garden-park-avenue,0,0,1,3,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,5
68-wharnsby-drive,1,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,15
21-moorehouse-drive,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,3
62-martin-grove-road,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
5-cafon-court,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
137-gloucester-grove,0,0,1,5,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,6
1570-pharmacy-avenue,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,5
4-allenvale-avenue,0,0,1,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,5
12-gloaming-drive,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,5
188-macpherson-avenue,1,2,1,4,0,0,1,3,1,1,0,0,0,0,1,2,0,0,1,18
12-colonnade-road,0,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,6
1-terry-drive,0,0,1,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,10
365-lytton-boulevard,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,4,1,8
356-cleveland-street,0,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,9
364-greenfield-avenue,1,2,1,2,1,1,1,2,0,0,0,0,0,0,1,1,0,0,1,11
1-st-crispins-drive,1,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,5
4-sandfield-road,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
664-windermere-avenue,1,1,1,4,0,0,1,6,0,0,0,0,0,0,1,2,0,0,1,6
23-kensington-avenue,1,1,1,6,1,2,1,5,1,1,0,0,1,4,0,0,0,0,1,14
21-dunlace-drive,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,7
47-roywood-drive,1,3,1,1,0,0,1,4,1,2,0,0,0,0,0,0,0,0,1,5
35-cedar-brae-boulevard,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,5
17-arthur-griffith-drive,0,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,7
33-heddington-avenue,0,0,1,1,1,1,1,3,0,0,0,0,0,0,0,0,1,4,1,5
215-ashworth-avenue,0,0,1,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,9
249-bicknell-avenue,0,0,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,5
33-jenny-wrenway,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,2
483-silverstone-drive,1,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,8
310-goldenwood-road,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,4
39-fifteenth-street,0,0,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,4
30-lescon-road,0,0,1,1,1,2,1,5,0,0,0,0,0,0,0,0,0,0,1,6
74-warden-avenue,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
630-oakwood-avenue,0,0,1,4,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,6
52-shaughnessy-boulevard,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,5
80-madawaska-avenue,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
87-allenby-avenue,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1205-islington-avenue,0,0,1,3,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,10
39-sedgeley-drive,0,0,1,4,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,3
79-holmcrest-trail,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
43-green-belt-drive,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3
1022-shaw-street,0,0,1,2,0,0,1,6,0,0,0,0,0,0,1,1,0,0,1,11
7-stainforth-drive,0,0,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,5
138-lomar-drive,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
11-stallion-place,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,1,2
6-grandor-court,0,0,1,1,0,0,1,3,0,0,1,1,0,0,0,0,1,1,1,8
551-brookdale-avenue,1,2,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,7
44-delbert-drive,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
699-scarlett-road,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,8
90-dunthorne-court,1,2,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,3
59-warnica-avenue,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2
90-ramage-lane,0,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
20-brooklawn-avenue,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,5
55-symons-street,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,10
64-mystic-avenue,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,7
1238-avenue-road,0,0,1,1,1,1,1,3,1,1,0,0,0,0,0,0,1,1,1,4
156-borden-street,1,1,1,7,0,0,1,5,1,1,0,0,0,0,1,2,0,0,1,15
74-brentcliffe-road,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
123-davenport-road,1,3,1,4,0,0,1,2,0,0,0,0,0,0,1,4,0,0,1,23
40-brinloor-boulevard,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,1,1,3
40-lambrinos-lane,0,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,6
575-bedford-park-avenue,1,2,1,7,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,6
383-horsham-avenue,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4
38-noranda-drive,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,7
2-ottawa-street,1,1,1,2,0,0,1,4,0,0,0,0,0,0,1,3,1,1,1,11
116-canlish-road,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2
87-cordella-avenue,0,0,1,4,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,9
180-mckee-avenue,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
293-downsview-park-boulevard,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2
57-peace-drive,0,0,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,2
452-ruth-avenue,0,0,1,2,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,14
128-atlas-avenue,0,0,1,5,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,8
9-vicarage-court,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4
54-sumner-heights-drive,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
47-decarie-circle,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
73-gwynne-avenue,0,0,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,13
25-whitehall-road,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,11
2798-weston-road,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4
35-eagle-road,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,8
52-elm-grove-avenue,0,0,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,13
130-rusty-crestway,0,0,1,1,1,1,1,5,0,0,0,0,0,0,0,0,1,1,1,10
215-erskine-avenue,0,0,1,3,1,3,1,5,0,0,0,0,0,0,0,0,0,0,1,7
185-rosemount-avenue,0,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,1,1,1,10
146a-sorauren-avenue,0,0,1,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,10
16-john-best-avenue,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
92-glen-rush-boulevard,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,4
14-la-rush-drive,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
33-tavistock-road,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,6
105-stephen-drive,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
144-rosemount-avenue,0,0,1,2,0,0,1,4,1,2,0,0,0,0,0,0,1,1,1,9
144-rosemount-avenue,0,0,1,2,0,0,1,4,1,2,0,0,0,0,0,0,1,1,1,9
144-rosemount-avenue,0,0,1,2,0,0,1,4,1,2,0,0,0,0,0,0,1,1,1,9
144-rosemount-avenue,0,0,1,2,0,0,1,4,1,2,0,0,0,0,0,0,1,1,1,9
133-balmoral-avenue,0,0,1,7,0,0,1,2,1,2,0,0,0,0,1,2,1,1,1,16
20-neilson-avenue,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,6
25-dundonald-street,1,2,1,5,0,0,1,2,1,3,0,0,1,1,1,4,0,0,1,23
