address,within_academy,#_of_academy_within,within_education_centres,#_of_education_centres_within,within_highschool,#_of_highschool_within,within_elementary school,#_of_elementary school_within,within_college,#_of_college_within,within_learning centre,#_of_learning centre_within,within_university,#_of_university_within,within_subway_station,#_of_subway_station_within,within_cemetery,#_of_cemetery_within,within_green_space,#_of_green_space_within
108-poplar-plains-road,1,1,1,3,0,0,1,2,1,1,0,0,0,0,1,1,0,0,1,19
82-borden-street,0,0,1,6,0,0,1,5,1,1,0,0,0,0,1,2,0,0,1,14
82-borden-street,0,0,1,6,0,0,1,5,1,1,0,0,0,0,1,2,0,0,1,14
82-borden-street,0,0,1,6,0,0,1,5,1,1,0,0,0,0,1,2,0,0,1,14
71-brandon-avenue,0,0,0,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,1,11
84-pennyhill-drive,1,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,9
9-san-remo-terrace,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,6
5-ewart-avenue,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,6
45-dodge-road,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,8
328-shaw-street,1,1,1,3,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,9
95-sutherland-drive,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,8
360-hillcrest-avenue,0,0,1,2,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,9
399-shaw-street,1,1,1,3,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,9
24-athol-avenue,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
23-harshaw-avenue,1,1,1,3,0,0,1,4,0,0,0,0,0,0,1,2,0,0,1,8
2-canerouth-drive,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
52-fred-bland-cres,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3
322-high-park-avenue,0,0,1,1,0,0,1,4,1,2,0,0,0,0,0,0,1,1,1,6
74-eleventh-street,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,9
236-ellington-drive,1,1,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3
59-falaise-road,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,3
12-richome-court,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5
45-darlingside-drive,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
37-chiefswood-square,1,1,0,0,1,1,1,3,1,1,0,0,0,0,0,0,0,0,1,2
47-glenstroke-drive,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1
10-peacock-avenue,0,0,1,4,0,0,1,4,1,1,0,0,0,0,0,0,0,0,1,7
243-woodsworth-road,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,8
128-evans-avenue,0,0,1,3,0,0,1,5,0,0,0,0,0,0,1,1,0,0,1,6
89-mill-road,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
106-stilecroft-drive,0,0,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,8
128-evans-avenue,0,0,1,3,0,0,1,5,0,0,0,0,0,0,1,1,0,0,1,6
190-borden-street,1,1,1,7,0,0,1,4,1,4,0,0,0,0,1,3,0,0,1,15
38-bobolink-avenue,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,15
250-acton-avenue,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7
128-evans-avenue,0,0,1,3,0,0,1,5,0,0,0,0,0,0,1,1,0,0,1,6
128-evans-avenue,0,0,1,3,0,0,1,5,0,0,0,0,0,0,1,1,0,0,1,6
198-albany-avenue,1,1,1,2,0,0,1,1,1,5,0,0,0,0,1,3,0,0,1,15
128-evans-avenue,0,0,1,3,0,0,1,5,0,0,0,0,0,0,1,1,0,0,1,6
128-evans-avenue,0,0,1,3,0,0,1,5,0,0,0,0,0,0,1,1,0,0,1,6
128-evans-avenue,0,0,1,3,0,0,1,5,0,0,0,0,0,0,1,1,0,0,1,6
128-evans-avenue,0,0,1,3,0,0,1,5,0,0,0,0,0,0,1,1,0,0,1,6
169-hainford-street,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,9
15-beaufield-avenue,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3
98-delroy-drive,1,1,1,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,5
64-antioch-drive,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
71-piggott-mews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,14
12-kainona-avenue,0,0,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5
18-zenith-drive,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,6
3066-weston-road,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,4
311-warden-avenue,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,7
263-melrose-avenue,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5
18-decarie-circle,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
3-whitewood-road,0,0,1,3,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,7
25-blue-forest-drive,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
102-bridlewood-boulevard,0,0,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,3
34-touraine-avenue,1,1,1,5,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,6
19-cliff-street,0,0,1,4,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,7
65-gradwell-drive,1,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,5
948-ossington-avenue,0,0,1,1,0,0,1,6,0,0,0,0,0,0,1,1,0,0,1,12
19-robbie-avenue,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
77-araman-drive,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,3
26-edgecroft-road,1,1,1,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,5
57-copping-road,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,1
12-cannon-road,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,7
644-annette-street,1,1,1,4,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,4
83-glen-road,0,0,1,1,0,0,1,3,1,1,0,0,0,0,1,2,1,1,1,12
106-palmerston-avenue,0,0,1,3,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,10
493-brownfield-gardens,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
16-winston-avenue,0,0,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,10
5-sevenoaks-avenue,1,1,1,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,6
40-tedford-drive,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3
30-de-vere-gardens,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,5
47-rose-park-drive,0,0,1,2,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,8
106-glenrose-avenue,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,10
197-major-street,1,1,1,6,0,0,1,4,1,3,0,0,0,0,1,4,0,0,1,17
28-leitch-avenue,0,0,1,1,0,0,1,2,1,1,0,0,0,0,1,1,0,0,1,9
72-glendonwynne-road,1,1,1,6,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,11
23-ridley-gardens,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,4
14-roydawn-court,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3
26-bethune-boulevard,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,3
75-willowbank-boulevard,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,2,1,4
316-ellerslie-avenue,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,2
28-conference-boulevard,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,6
54-tedford-drive,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2
33-vanguard-drive,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4
103-chelwood-road,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,3
56-sir-raymond-drive,0,0,1,1,0,0,1,4,0,0,1,1,0,0,0,0,1,1,1,7
35-sabrina-drive,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
7-hugo-avenue,0,0,1,3,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,11
116-regina-avenue,1,1,1,5,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,9
3-lumley-avenue,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,9
181-concord-avenue,1,1,1,3,1,1,1,4,0,0,0,0,0,0,1,2,0,0,1,10
30-yarrow-road,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,6
32-woodfern-drive,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4
83-amberjack-boulevard,1,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3
410-cranbrooke-avenue,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,8
98-seaton-street,0,0,1,3,1,1,1,4,1,1,0,0,0,0,0,0,0,0,1,17
222-briar-hill-avenue,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,1,7
301-glencairn-avenue,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,1,2,1,4
203-sloane-avenue,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,2
2-fawcett-trail,1,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,4
64-brumwell-street,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,5
54-elm-grove-avenue,0,0,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,13
29-yvonne-avenue,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3
158-manitoba-street,0,0,1,4,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,15
16-ashton-avenue,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,8
133-macdonell-avenue,0,0,1,5,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,12
10-grattan-street,1,1,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,11
17-japonica-road,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,4
46-westminster-avenue,0,0,1,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,8
185-seaton-street,0,0,1,3,1,1,1,5,1,2,0,0,0,0,0,0,0,0,1,13
29-marowyne-drive,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,8
11-neddie-drive,0,0,1,2,0,0,1,5,1,1,0,0,0,0,0,0,0,0,1,3
6-paulander-avenue,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
43-glengowan-road,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,7
491-manning-avenue,1,1,1,7,0,0,1,5,1,1,0,0,0,0,1,2,0,0,1,11
205-alfred-avenue,1,2,1,2,1,2,1,2,0,0,0,0,0,0,1,1,0,0,1,9
24-broomfield-drive,0,0,1,1,1,2,1,5,0,0,0,0,0,0,0,0,0,0,1,4
74-acton-avenue,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
9-snowy-owl-way,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,7
18-ramblewood-drive,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,3
94-pegasus-trail,0,0,1,1,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,4
16-elmdon-court,1,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,5
88-manderley-drive,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,7
218-dunforest-avenue,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5
43-lewiston-road,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
145-honeywood-road,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3
526-jane-street,0,0,1,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,5
96-portwine-drive,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
10-george-brownlee-court,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,6
37-cornerbrook-drive,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,4
12-brookfield-street,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,14
71-charleston-road,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5
177-melrose-avenue,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4
965-roselawn-avenue,0,0,1,1,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,8
167-yarmouth-road,0,0,1,2,0,0,1,4,0,0,0,0,0,0,1,2,0,0,1,10
50-dunsdale-square,0,0,1,1,1,2,1,4,0,0,0,0,0,0,0,0,0,0,1,2
43-bywood-drive,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
285-poyntz-avenue,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,8
113-colonel-danforth-trail,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2
42-northey-drive,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,8
597-spadina-road,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,10
67-queens-avenue,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,12
38-holcolm-road,1,3,0,0,1,3,1,2,1,1,0,0,0,0,1,1,1,1,1,20
30-deforest-road,1,1,1,4,0,0,1,3,0,0,0,0,0,0,1,2,0,0,1,16
84-elmwood-avenue,1,5,1,3,1,3,1,1,1,3,0,0,0,0,1,2,0,0,1,13
15-duncannon-drive,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,5
1946-brimley-road,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,4
14-suraty-avenue,1,1,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,4
187-park-lawn-road,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,13
3-delbert-drive,1,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2
28-woodgate-drive,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,8
71-montgomery-road,0,0,1,3,0,0,1,1,1,1,0,0,0,0,1,1,1,2,1,7
107-patterson-avenue,1,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,10
116-randolph-road,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2
48-lloyd-manor-road,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
119-seaton-street,0,0,1,2,0,0,1,6,1,1,0,0,0,0,0,0,0,0,1,16
116-major-street,1,1,1,6,0,0,1,3,1,1,0,0,1,1,1,4,0,0,1,15
78-vanevery-street,0,0,1,6,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,8
113-gooderham-drive,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2
64-birchmount-road,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,9
147-chiltern-hill-road,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,8
493-glenlake-avenue,1,1,1,6,0,0,1,4,0,0,0,0,0,0,1,2,0,0,1,10
6-cromarty-drive,0,0,1,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,5
36-phoebe-street,1,1,1,5,1,2,1,2,1,1,0,0,1,7,1,2,0,0,1,15
10-baden-street,1,1,1,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,9
101-evans-avenue,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,6
253-claremont-street,0,0,1,4,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,6
82-lansbury-drive,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2
101-evans-avenue,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,6
101-evans-avenue,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,6
101-evans-avenue,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,6
101-evans-avenue,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,6
578-balliol-street,0,0,1,4,0,0,1,2,1,1,0,0,0,0,0,0,1,2,1,9
101-evans-avenue,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,6
231-woburn-avenue,1,1,1,2,0,0,1,4,1,2,0,0,0,0,1,1,0,0,1,6
93-bicknell-avenue,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,5
101-evans-avenue,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,6
101-evans-avenue,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,6
64-dale-avenue,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,7
52-oldham-road,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
76-gooderham-drive,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2
80-royal-rouge-trail,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
15-garnet-avenue,0,0,1,2,0,0,1,5,1,1,0,0,0,0,1,2,0,0,1,11
221-birkdale-road,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,4
16-lucerne-court,1,1,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,4
33-saddleback-court,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,6
2-kellyvale-road,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,4
18-arkona-drive,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,4
64-dale-avenue,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,7
64-dale-avenue,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,7
52-bellevue-avenue,1,1,1,4,0,0,1,5,1,1,0,0,0,0,0,0,0,0,1,11
64-dale-avenue,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,7
