_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
124,Education,Education,Brockville,École élémentaire et secondaire catholique Ange-Gabriel,Complete,Sep-15,Expansion of existing school,New classroom addition of 84 pupil places for a growing school,Leeds and Grenville,East,1515 KENSINGTON PKY,K6V 6H9,,2458519,,Yes,,,,44.612217,-75.7179
125,Education,Education,Brockville,Westminster Public Elementary School,Planning,Sep-23,Expansion of existing school,"New gymnasium addition to improve school condition, including 25 child care spaces",Leeds and Grenville,East,29 CENTRAL AVE W,K6V 4N6,,3173464,,Yes,,,,44.59885091,-75.69540632
126,Education,Education,Bruce Mines,Arthur Henderson Annex Public Elementary School,Complete,Sep-15,Demolition,Full/Partial demolition of the existing facility,Algoma,Northeast,3 HENDERSON LANE RR 2,P0R 1C0,,208787,,Yes,,,,46.302754,-83.781321
127,Education,Education,Burk's Falls,Land of Lakes Senior Public Elementary School,Complete,Sep-17,Renovation of existing school,School renovation to address accommodation needs as a result of a consolidation,Parry Sound,Northeast,92 ONTARIO ST,P0A 1C0,,2191130,,Yes,,,,45.61517,-79.40577
128,Education,Education,Burlington,Alton Village Public Elementary School,Complete,Sep-12,New building replaced old school,Accommodates roughly 704 kindergarten and elementary students,Halton,Central,3290 Steeplechase Dr,L7M 0W1,,0,,Yes,,,,43.400189,-79.826429
129,Education,Education,Burlington,Pauline Johnson Public Elementary School,Complete,Sep-14,Expansion of existing school,Minor school addition and renovation to accommodate Full Day Kindergarten students,Halton,Central,4350 Longmoor Dr,L7L 1X7,,0,,Yes,,,,43.365348,-79.76408
130,Education,Education,Burlington,Alton Village Public Elementary School,Complete,Sep-16,Expansion of existing school,New classroom addition of 115 pupil places for a growing school,Halton,Central,3290 STEEPLECHASE DR,L7M 0W1,,2271364,,Yes,,,,43.39996,-79.82671
131,Education,Education,Burlington,St. Mark Catholic Elementary School,Complete,Sep-18,Expansion of existing school,"New classroom addition of 124 pupil places to accommodate students as a result of a consolidation, including 49 child care spaces and of 1 child and family room",Halton,Central,2145 UPPER MIDDLE RD,L7P 4G1,,3667880,,Yes,,,,43.35937,-79.84235
132,Education,Education,Burlington,Nelson Public Secondary School,Under construction,2022,Expansion of existing school,New classroom addition of 219 pupil places to accommodate students as a result of consolidation,Halton,Central,4181 NEW ST,L7L 1T3,,15184482,,Yes,,,,43.35804,-79.76526
133,Education,Education,Burlington,MM Robinson Public Secondary School,Complete,Jan-20,Expansion of existing school,New classroom addition of 147 pupil places to accommodate students as a result of consolidation,Halton,Central,2425 UPPER MIDDLE RD,L7P 3N9,,8523489,,Yes,,Yes,,43.36377,-79.82479
134,Education,Education,Burlington,Assumption Catholic Secondary School,Complete,Feb-20,Expansion of existing school,New classroom addition of 84 pupil places for a growing school,Halton,Central,3230 WOODWARD AVE,L7N 3P1,,2358102,,,,Yes,,43.34836,-79.78368
135,Education,Education,Caledon,Alloa  Public Elementary School,Complete,Sep-13,New building replaced old school,Accommodates roughly 625 kindergarten and elementary students,Peel,Central,12287 Mississauga Rd,L7C 1X1,,0,,Yes,,,,43.700526,-79.875139
