_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
144,Education,Education,Cambridge,St. Anne Catholic Elementary School,Complete,Sep-16,Expansion of existing school,New classroom addition of 168 pupil places to accommodate students as a result of a consolidation,Waterloo,Southwest,127 ELGIN ST N,N1R 5H6,,4119827,,Yes,,Yes,,43.365516,-80.298845
145,Education,Education,Cambridge,Ryerson Public Elementary School,Complete,Sep-19,Expansion of existing school,New classroom addition of 199 pupil places for a growing school,Waterloo,Southwest,749 GRAND VALLEY DR,N3H 2S3,,4706749,,Yes,,Yes,,43.3901147,-80.3349056
146,Education,Education,Cambridge,Southeast Cambridge Public Elementary School,Planning,Sep-24,Construction of new school,"New facility to accommodate 519 students in a growing community, including the construction of 72 child care spaces",Waterloo,Southwest,FRANKLIN BLVD / GREEN GATE,,,13503269,,Yes,,,,43.35673,-80.27611
147,Education,Education,Cambridge,St. Vincent De Paul  Catholic Elementary School,Complete,Sep-18,Construction of new school,"New facility to accommodate 550 students as a result of a consolidation, including the construction of 88 child care spaces",Waterloo,Southwest,30 FAIAL RD,N1R 7C3,,13455626,,Yes,,,,43.34604234,-80.29039597
148,Education,Education,Cambridge,Silverheights  Public Elementary School,Complete,Sep-15,Expansion of existing school,New classroom addition of 276 pupil places for a growing school,Waterloo,Southwest,390 SCOTT RD,N3C 3Z7,,6873320,,Yes,,Yes,,43.4419,-80.31531
149,Education,Education,Cambridge,Holy Spirit Catholic Elementary School,Complete,Sep-15,Expansion of existing school,New classroom addition of 98 pupil places for a growing school,Waterloo,Southwest,15 GATEHOUSE DR,N1P 1C7,,1323421,,Yes,,,,43.34397,-80.2805
150,Education,Education,Cambridge,St. Gabriel Catholic Elementary School,Complete,Sep-15,New school built,New facility to accommodate 350 students in a growing community,Waterloo,Southwest,15 BALDWIN DR,N3C 0G1,,7827094,,Yes,,Yes,,43.44188,-80.31325
151,Education,Education,Cambridge,école secondaire catholique Père-René-de-Galinée,Complete,Sep-21,Expansion of existing school,New classroom addition of 178 pupil places for a growing school,Waterloo,Southwest,450 MAPLE GROVE RD RR 32,N3H 4R7,,5977013,,Yes,,Yes,,43.4243,-80.3817
152,Education,Education,Cambridge,Southeast Galt Catholic Elementary School,Planning,Sep-24,Construction of new school,New facility to accommodate 354 students in a growing community,Waterloo,Southwest,TBD,TBD,,8652378,,Yes,,,,,
153,Education,Education,Carleton Place,Notre Dame Catholic Elementary and Secondary School,Complete,Sep-15,Expansion of existing school,New classroom addition of 272 pupil places for a growing school,Lanark,East,157 MCKENZIE ST,K7C 4P2,,6467017,,Yes,,,,45.14297,-76.15832
154,Education,Education,Cavan-Monaghan,Millbrook-South Cavan Public Elementary School,Complete,Sep-16,Expansion of existing school,New classroom addition of 92 pupil places for a growing school,Peterborough,East,47 TUPPER ST,L0A 1G0,,3501764,,Yes,,,,44.1555,-78.4497
155,Education,Education,Central Elgin,Kettle Creek Public Elementary School,Complete,Sep-20,Renovation of existing school to improve condition,,Elgin,Southwest,350 CARLOW RD,N5L 1B6,,5553309,,,,Yes,,42.67322,-81.22223
156,Education,Education,Central Elgin,Belmont Public Elementary School,Planning,Sep-24,Construction of new school,New replacement facility to accommodate 354 students,Elgin,Southwest,TBD,TBD,,8736381,,Yes,,,,,
157,Education,Education,Centre Wellington,Centre Wellington Public Elementary School,Planning,Sep-24,Construction of new school,New facility to accommodate 308 students in a growing community,Wellington,Southwest,COLBORNE ST / BEATTY LINE N,,,8460434,,Yes,,,,43.70411904,-80.39501373
158,Education,Education,Centre Wellington,St. Joseph Catholic Elementary School,Planning,Sep-26,Expansion of existing school,New classroom addition of 190 pupil places for a growing school,Wellington,Southwest,150 STRATHALLAN ST,N1M 1A1,,5205113,,Yes,,,,43.71219,-80.387
159,Education,Education,Chatham-Kent,École élémentaire catholique Sainte-Marie,Complete,Sep-16,Expansion of existing school,New classroom addition of 92 pupil places for a growing school,Chatham-Kent,Southwest,90 DALE DR,N7L 0B2,,2948748,,Yes,,Yes,,42.399603,-82.228449
160,Education,Education,Chatham-Kent,Wallaceburgh District Public Secondary School,Complete,Sep-15,Renovation of existing school,School renovation to address accommodation needs as a result of a consolidation,Chatham-Kent,Southwest,920 ELGIN ST,N8A 3E1,,2432240,,Yes,,,,42.59635,-82.39112
161,Education,Education,Chatham-Kent,St. Angela Merici Catholic Elementary School,Complete,Sep-20,New school built,"New facility to accommodate 564 students as a result of a consolidation, including the construction of 49 child care spaces",Chatham-Kent,Southwest,801 MCNAUGHTON AVE W,N7L 0E5,,15460410,,Yes,,Yes,,42.398201,-82.225167
162,Education,Education,Chatham-Kent,South Chatham Catholic Elementary School,Planning,Sep-23,Construction of new school,"New facility to accommodate 564 students as a result of a consolidation, including the construction of 49 child care spaces",Chatham-Kent,Southwest,TBD,TBD,,13357502,,Yes,,,,,
163,Education,Education,Chatham-Kent,Tecumseh Public Elementary School,Complete,Sep-18,Renovation of existing school,Renovation to address accommodation needs as a result of a consolidation,Chatham-Kent,Southwest,287 MCNAUGHTON AVE W,N7L 1R8,,3550060,,Yes,,Yes,,42.409,-82.21008
164,Education,Education,Clarence-Rockland,École élémentaire publique Carrefour Jeunesse,Complete,Sep-18,Expansion of existing school,New classroom addition of 184 pupil places for a growing school,Prescott and Russell,East,927 ST JEAN ST,K4K 1P4,,4324942,,Yes,,Yes,,45.54392,-75.28816
165,Education,Education,Clarence-Rockland,École élémentaire publique Carrefour Jeunesse,Complete,Sep-15,Renovation of existing school,School renovation as a result of condition of school,Prescott and Russell,East,927 ST JEAN ST,K4K 1P4,,412097,,,,Yes,,45.54392,-75.28816
166,Education,Education,Clarington,Monsignor Leo Cleary  Catholic Elementary School,Complete,Sep-15,Expansion of existing school,School renovation and new classroom addition of 26 pupil places,Durham,Central,3820 COURTICE RD,L1E 2L5,,942923,,Yes,,Yes,,43.9319,-78.78983
167,Education,Education,Clarington,École élémentaire publique Clarington,Complete,Sep-18,Renovation of existing school,New facility to accommodate 210 underserved French-language students,Durham,Central,116 ONTARIO ST,L1C 2T4,,2194826,,Yes,,,,43.90646,-78.68086
168,Education,Education,Clarington,Orono Public Elementary School,Complete,Sep-18,Expansion of existing school,New classroom addition of 69 pupil places to accommodate students as a result of a consolidation,Durham,Central,171 CHURCH ST,L0B 1M0,,3350132,,Yes,,Yes,,43.97984,-78.61589
169,Education,Education,Clarington,Northglen Public Elementary School,Planning,Sep-23,Construction of new school,"New facility to accommodate 769 students in a growing community, including the construction of 73 child care spaces",Durham,Central,NORTHGLEN BLVD / EDWIN CARR ST,,,19944512,,Yes,,,,43.93732858,-78.70880477
170,Education,Education,Clearview,Clearview Meadows Public Elementary School,Complete,Jan-20,Expansion of existing school,New classroom addition of 153 pupil places to accommodate students as a result of a consolidation,Simcoe,Central,12 LOCKE AVE,L0M 1S0,,3800577,,Yes,,Yes,,44.4264,-80.09502
171,Education,Education,Cobourg,CR Gummow Public Elementary School,Complete,Sep-14,New school built on old school grounds,Home to almost 700 kindergarten to Gr. 8 students,Northumberland,East,311 COTTESMORE AVE,K9A 4E3,,11778498,,Yes,,,,43.965253,-78.153699
172,Education,Education,Cobourg,Cobourg Public Secondary School,Complete,Sep-15,Expansion of existing school,"New classrooms add 84 new pupil places for growing school (now more than 1,270 students)",Northumberland,East,335 King St E,K9A 1M2,,0,,Yes,,,,43.961839,-78.152081
173,Education,Education,Cobourg,Cobourg Public Secondary School,Complete,Sep-15,Expansion of existing school,School addition and renovation,Northumberland,East,335 KING ST E,K9A 1M2,,12371807,,Yes,,,,43.96219,-78.15222
174,Education,Education,Cobourg,CR Gummow Public Elementary School,Complete,Sep-15,Demolition,Full/Partial demolition of the existing facility,Northumberland,East,287 GRAVELY ST,K9A 1H8,,452600,,Yes,,,,43.964913,-78.155655
175,Education,Education,Cobourg,école élémentaire catholique Cobourg,Planning,Sep-26,Construction of new school,"New facility to accommodate 259 underserved French-language students, including the construction of 49 child care spaces",Northumberland,East,950 NEW AMHERST BLVD,K9A 0B2,,10082998,,Yes,,,,43.96779706,-78.21224375
176,Education,Education,Collingwood,Cameron Street Public Elementary School,Complete,Nov-19,Expansion of existing school,New classroom addition of 141 pupil places for a growing school,Simcoe,Central,575 CAMERON ST,L9Y 2J4,,6487869,,Yes,,Yes,,44.48804,-80.21964
177,Education,Education,Collingwood,Mountain View Public Elementary School,Complete,Sep-18,Expansion of existing school,New classroom addition of 92 pupil places for a growing school,Simcoe,Central,300 SPRUCE ST,L9Y 3H1,,2028833,,Yes,,,,44.49666,-80.2307
178,Education,Education,Collingwood,École élémentaire catholique Notre-Dame-de-la-Huronie,Complete,Sep-16,New school built,New facility to accommodate 200 underserved French-language students,Simcoe,Central,28 TRACEY LANE,L9Y 0G7,,7884366,,Yes,,Yes,,44.483576,-80.21192
179,Education,Education,Cornwall,Bridgewood Public Elementary School,Complete,Sep-16,New school built,New facility to accommodate 415 students as a result of a consolidation,"Stormont, Dundas and Glengarry",East,850 NICK KANEB DR,K6H 0G4,,14231453,,Yes,,,,45.03617,-74.70643
180,Education,Education,Cornwall,New Cornwall Public Secondary School,Planning,Jan-25,Construction of new school,New facility to accommodate 1400 students as a result of a consolidation,"Stormont, Dundas and Glengarry",East,TBD,TBD,,39062944,,Yes,,,,,
181,Education,Education,Cornwall,TR Léger Public Secondary Alternative School,Complete,Sep-18,Renovation of existing school,Renovation to address accommodation needs as a result of a consolidation,"Stormont, Dundas and Glengarry",East,600 MCCONNELL AVE,K6H 4M1,,480000,,,,Yes,,45.02535582,-74.71392271
182,Education,Education,Cornwall,Holy Name of Mary Catholic Elementary School,Complete,Sep-18,Expansion of existing school,"New classroom addition of 144 pupil places for a growing school, including 63 child care spaces","Stormont, Dundas and Glengarry",East,110 PATERSON ST,K0A 1A0,,4858872,,Yes,,,,45.2309,-76.1834
183,Education,Education,Cornwall,St. Joseph Catholic Secondary School,Complete,Sep-18,Renovation of existing school,Renovation to address accommodation needs as a result of a consolidation,"Stormont, Dundas and Glengarry",East,1500 CUMBERLAND ST,K6J 5V9,,4876094,,Yes,,,,45.03634,-74.75056
184,Education,Education,Dorion,École élémentaire catholique Immaculée-Conception,Complete,Sep-16,Renovation of existing school,School renovation,Thunder Bay,Northwest,119 LILY PAD RD,P0T 1T0,,3000000,,,,Yes,,49.40547,-91.66038
185,Education,Education,East Ferris,École élémentaire catholique Saint-Thomas-d'Aquin,Complete,Sep-15,New school built,New replacement facility to accommodate 245 students,Nipissing,Northeast,1245 VILLAGE RD RR 1,P0H 1B0,,10238418,,Yes,,,,46.18704,-79.2866
186,Education,Education,East Gwillimbury,Our Lady of Good Counsel Catholic Elementary School,Complete,Sep-17,Construction of new school,"New facility to accommodate 461 students in a growing community, including the construction of 72 child care spaces",York,Central,801 MURRELL BLVD,L9N 0P6,,20831903,,Yes,,Yes,,44.104187,-79.44191
187,Education,Education,East Gwillimbury,École élémentaire catholique Jean-Béliveau,Complete,Sep-15,New school built,New facility to accommodate 245 students in a growing community,York,Central,19300 2ND CONCESSION RD,L9N 0H3,,10417044,,Yes,,Yes,,44.102849,-79.467954
188,Education,Education,East Gwillimbury,Sharon Public Elementary School,Planning,Sep-24,Construction of new school,"New facility to accommodate 638 students in a growing community, including the construction of 39 child care spaces",York,Central,MURREL BLVD / CHARLESWHITE COURT,,,14761623,,Yes,,,,44.095801,-79.449127
189,Education,Education,East Gwillimbury,Queensville Catholic Elementary School,Planning,Sep-24,Construction of new school,"New facility to accommodate 409 students in a growing community, including the construction of 49 child care spaces",York,Central,LESLIE ST / JIM MORTSON DR,,,11400174,,Yes,,,,44.12834911,-79.44809301
190,Education,Education,Emo,Donald Young Public Elementary School,Complete,Sep-18,Renovation of existing school,School renovation,Rainy River,Northwest,9024 HIGHWAY 602,P0W 1E0,,6832784,,,,Yes,,48.6308,-93.8302
191,Education,Education,Emo,Donald Young Public Elementary School,Complete,Sep-16,Demolition,Full/Partial demolition of the existing facility,Rainy River,Northwest,57 COLONIZATION RD,P0W 1E0,,150000,,,,Yes,,48.6308,-93.8302
192,Education,Education,Espanola,AB Ellis-Espanola Public Elementary and Secondary School,Complete,Sep-16,Renovation of existing school,School renovation to address accommodation needs as a result of a consolidation,Sudbury,Northeast,147 SPRUCE AVE,P5E 1R7,,8653797,,Yes,,Yes,,46.26322,-81.77023
193,Education,Education,Espanola,Sacred Heart Catholic Elementary School,Complete,Sep-21,Construction of new school,"New replacement facility to accommodate 245 students, including the construction of 49 child care spaces and of 1 EarlyON room",Sudbury,Northeast,273 MEAD BLVD,P5E 1B3,,11307581,,Yes,,Yes,,46.2606062,-81.7738041
194,Education,Education,Espanola,École élémentaire et secondaire catholique Renaissance,Complete,Jan-20,Construction of new school,"New facility to accommodate 310 underserved French-language students, including the construction of 49 child care spaces",Sudbury,Northeast,273 MEAD BLVD,P5E 1B3,,14324815,,Yes,,Yes,,46.260253,-81.772933
195,Education,Education,Essex,Essex District Public Secondary School,Complete,Sep-15,Expansion of existing school,"School renovation, demolition and new classroom addition of 700 pupil places",Essex,Southwest,244 TALBOT ST N,N8M 2E1,,21919757,,Yes,,Yes,,42.17935,-82.82793
196,Education,Education,Fort Erie,Greater Fort Erie Public Secondary School,Complete,Sep-17,Construction of new school,New facility to accommodate 750 students as a result of a consolidation,Niagara,Central,1640 GARRISON RD,L2A 5M4,,27541280,,Yes,,Yes,,42.904411,-78.977449
197,Education,Education,Fort Erie,John Brant Public Elementary School,Complete,Sep-16,New school built,New facility to accommodate 504 students as a result of a consolidation,Niagara,Central,143 RIDGE RD,L0S 1N0,,11272184,,Yes,,,,42.878518,-79.051827
198,Education,Education,Fort Erie,Peace Bridge Public Elementary School,Planning,Sep-23,Expansion of existing school,New classroom addition of 230 pupil places for a growing school,Niagara,Central,105 TORRANCE CRES,L2A 2C1,,5278019,,Yes,,,,42.91472,-78.92502
199,Education,Education,Fort Frances,St. Mary Catholic Elementary School,Complete,Jan-20,Construction of new school,"New facility to accommodate 345 students as a result of a consolidation, including the construction of 39 child care spaces",Rainy River,Northwest,755 FLINDERS AVE,P9A 3L2,,16539912,,Yes,,Yes,,48.6107949,-93.4217571
200,Education,Education,Fort Frances,St. Mary Catholic Elementary School,Planning,Sep-23,Expansion of existing school,New classroom addition of 69 pupil places for a growing school,Rainy River,Northwest,755 FLINDERS AVE,P9A 3L2,,2588357,,Yes,,,,48.61251893,-93.42182511
201,Education,Education,Georgian Bay,Honey Harbour Public Elementary School,Complete,Sep-19,Purchase and install a portable to accommodate students,,Muskoka,Central,2586 HONEY HARBOUR RD,P0E 1E0,,351250,,Yes,,,,44.86739,-79.81861
202,Education,Education,Georgina,St. Bernadette Catholic Elementary School,Complete,Sep-18,Renovation of existing school,Renovation to address accommodation needs as a result of full day kindergarten,York,Central,5279 BLACK RIVER RD,L0E 1R0,,300000,,Yes,,,,44.30934,-79.36829
203,Education,Education,Greater Napanee,JJ O'Neill Catholic Elementary School,Planning,Sep-24,Expansion of existing school,"New classroom addition of 331 pupil places for a growing school, including 49 child care spaces",Lennox and Addington,East,240 MARILYN AVE,K7R 2L4,,9900658,,Yes,,,,44.24734492,-76.96461964
204,Education,Education,Greater Sudbury,Holy Trinity Catholic Elementary School,Complete,Sep-15,New school built,Accommodates about 550 kindergarten to Gr. 6 students,Sudbury,Northeast,Hawthorne Dr,P3A 1M5,,0,,Yes,,,,46.516638,-80.927877
205,Education,Education,Greater Sudbury,St. Charles College Catholic Intermediate and Secondary School,Complete,Sep-15,Retrofit,"Accommodates about 1,290 Gr. 7 to 12 students",Sudbury,Northeast,1940 HAWTHORNE DR,P3A 1M8,,6307929,,Yes,,Yes,,46.518235,-80.927149
206,Education,Education,Greater Sudbury,St. David Catholic Elementary School,Complete,Sep-15,New school built,Accommodates about 200 kindergarten to Gr. 8 students,Sudbury,Northeast,350 Jean St,P3C 2S8,,0,,Yes,,,,46.502807,-81.008062
207,Education,Education,Greater Sudbury,École secondaire publique Cap sur l'Avenir,Complete,Sep-17,Renovation of existing school,School renovation to address accommodation needs as a result of a consolidation,Sudbury,Northeast,190 LARCH ST,P3E 1C5,,1067838,,Yes,,,,46.49159339,-80.99008158
208,Education,Education,Greater Sudbury,École élémentaire catholique Hanmer-Val Thérèse,Planning,Sep-23,Construction of new school,"New facility to accommodate 567 students as a result of a consolidation, including the construction of 73 child care spaces and of 1 EarlyON room",Sudbury,Northeast,TBD,TBD,,16463115,,Yes,,,,,
209,Education,Education,Greater Sudbury,Churchill Public Elementary School,Under construction,2022,Expansion of existing school,"Expansion to accommodate school population as a result of a consolidation, including 49 child care spaces",Sudbury,Northeast,1722 FIELDING ST,P3A 1P1,,4266712,,Yes,,,,46.51866,-80.93435
210,Education,Education,Greater Sudbury,Confederation Public Secondary School,Complete,Sep-18,Expansion of existing school,Expansion to accommodate school population,Sudbury,Northeast,1918 MAIN ST,P3N 1R8,,1635590,,Yes,,,,46.6117,-81.02007
211,Education,Education,Greater Sudbury,Levack Public Elementary School,Under construction,Sep-23,Renovation of existing school,"Renovation to address accommodation needs as a result of a consolidation, including 39 child care spaces",Sudbury,Northeast,100 HIGH ST,P0M 2C0,,1319879,,Yes,,,,46.64506,-81.3967
212,Education,Education,Greater Sudbury,Sudbury Consolidation Public Elementary School,Under construction,2022,Construction of new school,"New facility to accommodate 387 students as a result of a consolidation, including the construction of 49 child care spaces and of 1 EarlyON room",Sudbury,Northeast,1545 KENNEDY ST,P3A 2G1,,14164180,,Yes,,,,46.524298,-80.939866
213,Education,Education,Greater Sudbury,Holy Trinity Catholic Elementary School,Complete,Sep-15,New school built,New facility to accommodate 578 students as a result of a consolidation,Sudbury,Northeast,1945 HAWTHORNE DR,P3A 0C1,,11978062,,Yes,,,,46.516738,-80.927746
214,Education,Education,Greater Sudbury,St. David Catholic Elementary School,Complete,Sep-15,New school built,New replacement facility to accommodate 200 students,Sudbury,Northeast,549 FROOD RD,P3C 5A2,,10644264,,Yes,,,,46.506087,-81.00791
215,Education,Education,Greater Sudbury,St. Paul the Apostle Catholic Elementary School,Complete,Sep-18,Demolition,Full/Partial demolition of the existing facility,Sudbury,Northeast,1 EDWARD AVE,P0M 1M0,,1462611,,Yes,,Yes,,46.49429,-80.85059
216,Education,Education,Greater Sudbury,Chelmsford Valley District Public Secondary School,Complete,Sep-21,Renovation of existing school,Renovation to address accommodation needs as a result of a consolidation,Sudbury,Northeast,3594 HIGHWAY 144 E,P0M 1L0,,9095826,,Yes,,Yes,,46.5699,-81.19392
217,Education,Education,Greenstone,Geraldton Public Secondary School,Complete,Sep-21,Renovation of existing school,Renovation to improve school condition,Thunder Bay,Northwest,500 SECOND ST W,P0T 1M0,,5034654,,Yes,,Yes,,49.72188,-86.95383
218,Education,Education,Grey Highlands,Beavercrest Community Public Elementary School,Planning,Sep-23,Construction of new school,"New replacement facility to accommodate 236 students, including the construction of 39 child care spaces and of 2 EarlyON rooms",Grey,Southwest,TBD,TBD,,8544699,,Yes,,,,,
219,Education,Education,Grimsby,Our Lady of Fatima Catholic Elementary School,Complete,Sep-17,Expansion of existing school,"New classroom addition of 138 pupil places for a growing school, including 49 child care spaces",Niagara,Central,69 OLIVE ST,L3M 2C3,,4391129,,Yes,,,,43.2025856,-79.5666565
220,Education,Education,Grimsby,CyberQuest Catholic Continued Education,Complete,Sep-18,Demolition,Full/Partial demolition of the existing facility,Niagara,Central,69 OLIVE ST,L3M 2C3,,134100,,Yes,,,,43.2018,-79.56749
221,Education,Education,Grimsby,Smith Public Elementary School,Planning,Sep-23,Expansion of existing school,"New classroom addition of 276 pupil places for a growing school, including 49 child care spaces",Niagara,Central,18 OAKES RD N,L3M 4B1,,7223619,,Yes,,,,43.20636,-79.61408
222,Education,Education,Guelph,École Guelph Lake Public Elementary School,Complete,Sep-16,New school built,New facility to accommodate 541 students in a growing community,Wellington,Southwest,595 WATSON PKY N,N1E 6X2,,8844436,,Yes,,,,43.579719,-80.226484
223,Education,Education,Guelph,Guelph Public Secondary School,Planning,Sep-24,Construction of new school,New facility to accommodate 900 students in a growing community,Wellington,Southwest,388 ARKELL  RD,N1L 1E6,,25505658,,Yes,,,,43.52478596,-80.18837071
224,Education,Education,Guelph,école élémentaire catholique Saint-René-Goupil,Planning,Sep-23,Expansion of existing school,New classroom addition of 138 pupil places for a growing school,Wellington,Southwest,221 SCOTTSDALE DR,N1G 3A1,,3272670,,Yes,,,,43.52225,-80.24347
225,Education,Education,Guelph-Eramosa,Sacred Heart Catholic Elementary School,Complete,Sep-16,New school built,New facility to accommodate 268 students in a growing community,Wellington,Southwest,5146 7 HWY RR 4,N0B 2K0,,6221591,,Yes,,,,43.62408,-80.15174
226,Education,Education,Haldimand County,Fairview Avenue Public Elementary School,Complete,Sep-18,Construction of new school,"New facility to accommodate 423 students as a result of a consolidation, including the construction of 16 child care spaces and of 1 child and family room",Haldimand-Norfolk,Southwest,223 FAIRVIEW AVE W,N1A 1M4,,10408529,,Yes,,,,42.91261163,-79.61740088
227,Education,Education,Haldimand County,Thompson Creek Public Elementary School,Complete,Sep-17,Expansion of existing school,New classroom addition of 95 pupil places to accommodate students as a result of a consolidation,Haldimand-Norfolk,Southwest,800 CROSS ST W,N1A 1N7,,1110000,,Yes,,,,42.9141,-79.63072
228,Education,Education,Haldimand County,Fairview Avenue Public Elementary School,Complete,Sep-18,Full/partial demolition of the existing facility,,Haldimand-Norfolk,Southwest,223 FAIRVIEW AVE W,N1A 1M4,,980000,,Yes,,,,42.91261163,-79.61740088
229,Education,Education,Haldimand County,Caledonia Public Elementary School,Planning,Sep-24,Construction of new school,"New facility to accommodate 441 students in a growing community, including the construction of 49 child care spaces",Haldimand-Norfolk,Southwest,MACLACHLAN AVE / WHITHORN CRES,,,12288985,,Yes,,,,43.07348954,-79.93126346
230,Education,Education,Haldimand County,Caledonia Catholic Elementary School,Planning,Sep-24,Construction of new school,New facility to accommodate 305 students in a growing community,Haldimand-Norfolk,Southwest,MACLACHLAN AVE / WHITHORN CRES,,,8142113,,Yes,,,,43.07348954,-79.93126346
231,Education,Education,Hamilton,Cardinal Newman Catholic Secondary School,Complete,Sep-14,Expansion of existing school,"New classrooms increase school population to more than 1,260 Gr. 9 to 12 students",Hamilton,Central,127 Gray Rd,L8G 3V3,,0,,Yes,,,,43.221,-79.745233
232,Education,Education,Hamilton,Franklin Road Public Elementary School,Complete,Sep-15,Expansion of existing school,Minor school addition and renovation to accommodate Full Day Kindergarten students,Hamilton,Central,500 Franklin Rd,L8V 2A4,,0,,Yes,,,,43.226265,-79.851909
233,Education,Education,Hamilton,Hillcrest Public Elementary School,Complete,Sep-06,New school built,Accommodates about 760 kindergarten to Gr. 8 students,Hamilton,Central,40 Eastwood St,L8H 6R7,,0,,Yes,,,,43.240146,-79.777825
234,Education,Education,Hamilton,Greensville Public Elementary School,Complete,Sep-12,Expansion of existing school,Minor school addition to accommodate Full Day Kindergarten students,Hamilton,Central,625 Harvest Rd,L9H 5K8,,0,,Yes,,,,43.281063,-79.984395
235,Education,Education,Hamilton,Nora Frances Henderson Public Secondary School,Complete,Oct-20,Construction of new school,New facility to accommodate 1245 students as a result of a consolidation,Hamilton,Central,620 RYMAL RD E,L8W 1B3,,36599118,,Yes,,Yes,,43.1939,-79.8662
236,Education,Education,Hamilton,Bernie Curtis Public Secondary School,Complete,Sep-19,Construction of new school,New facility to accommodate 1251 students as a result of a consolidation,Hamilton,Central,1055 KING ST E,L8M 1E2,,33439112,,Yes,,Yes,,43.25128,-79.82765
237,Education,Education,Hamilton,Queensdale Public Elementary School,Complete,Sep-15,Expansion of existing school,Minor school addition and renovation to accommodate Full Day Kindergarten students,Hamilton,Central,67 Queensdale Ave E,L9A 1K4,,0,,Yes,,,,43.241701,-79.872851
238,Education,Education,Hamilton,Ridgemount Public Elementary School,Complete,Sep-16,Expansion of existing school,New classroom addition of 118 pupil places to accommodate students as a result of a consolidation,Hamilton,Central,65 HESTER ST,L9A 2N3,,4020059,,Yes,,Yes,,43.225117,-79.879431
239,Education,Education,Hamilton,Spencer Valley Public Elementary School,Complete,Sep-15,Expansion of existing school,New classrooms increase school population to more than 260 kindergarten to Gr. 8 students,Hamilton,Central,441 Old Brock Rd,L9H 6A7,,0,,Yes,,,,43.289854,-79.997935
240,Education,Education,Hamilton,Viscount Montgomery Public Elementary School,Complete,Sep-15,Expansion of existing school,Minor school addition and renovation to accommodate Full Day Kindergarten students,Hamilton,Central,1525 Lucerne Ave,L8K 1R3,,0,,Yes,,,,43.232618,-79.796755
241,Education,Education,Hamilton,WH Ballard Public Elementary School,Complete,Sep-15,Expansion of existing school,Minor school addition and renovation to accommodate Full Day Kindergarten students,Hamilton,Central,801 Dunsmure Rd,L8H 1H9,,0,,Yes,,,,43.24165,-79.802941
242,Education,Education,Hamilton,Bennetto Public Elementary School,Complete,Sep-15,Expansion of existing school,Minor school addition and renovation to accommodate Full Day Kindergarten students,Hamilton,Central,47 Simcoe St E,L8L 3N2,,0,,Yes,,,,43.267294,-79.861553
243,Education,Education,Hamilton,Tiffany Hills Public Elementary School,Complete,Sep-16,New school built,"New facility to accommodate 546 students in a growing community, including the construction of 39 child care spaces ",Hamilton,Central,255 RAYMOND RD,L9K 0H8,,13133480,,Yes,,Yes,,43.21273,-79.93762
244,Education,Education,Hamilton,Tiffany Hills Public Elementary School,Complete,Sep-16,New school built,New facility to accommodate 546 students in a growing community,Hamilton,Central,255 RAYMOND RD,L9K 0H8,,12125141,,Yes,,Yes,,43.217933,-79.941993
245,Education,Education,Hamilton,Greensville Public Elementary School,Complete,Sep-20,Construction of new school,"New facility to accommodate 381 students as a result of a consolidation, including the construction of 39 child care spaces",Hamilton,Central,625 HARVEST RD,L9H 5K8,,11353726,,Yes,,Yes,,43.28175251,-79.98414095
246,Education,Education,Hamilton,Franklin Road Public Elementary School,Complete,Sep-18,Expansion of existing school,"New classroom addition of 52 pupil places to accommodate students as a result of a consolidation, including 63 child care spaces",Hamilton,Central,500 FRANKLIN RD,L8V 2A4,,4038180,,Yes,,Yes,,43.22549,-79.85117
247,Education,Education,Hamilton,Shannen Koostachin Public Elementary School,Complete,Jan-20,Construction of new school,"New facility to accommodate 625 students in a growing community, including the construction of 49 child care spaces",Hamilton,Central,110 BELLAGIO AVE,L0R 1P0,,14810900,,Yes,,Yes,,43.177103,-79.802555
248,Education,Education,Hamilton,Eastdale Public Elementary School,Complete,Sep-19,Construction of new school,New replacement facility to accommodate 564 students,Hamilton,Central,275 LINCOLN RD,L8E 1Z4,,13154854,,Yes,,Yes,,43.22862,-79.73462
249,Education,Education,Hamilton,Sir Wilfrid Laurier Public Elementary School,Complete,Sep-20,Renovation of existing school,Renovation to address accommodation needs as a result of a consolidation,Hamilton,Central,70 ALBRIGHT RD,L8K 5J3,,1087803,,Yes,,,,43.21792,-79.78779
250,Education,Education,Hamilton,Our Lady of the Assumption Catholic Elementary School,Complete,Sep-17,Construction of new school,New facility to accommodate 509 students in a growing community,Hamilton,Central,103 FLETCHER RD,L0R 1P0,,12244823,,Yes,,Yes,,43.173353,-79.770391
251,Education,Education,Hamilton,St. Jean de Brebeuf Catholic Secondary School,Complete,Sep-17,Expansion of existing school,New classroom addition of 105 pupil places to accommodate students as a result of condition,Hamilton,Central,200 ACADIA DR,L8W 1B8,,4037166,,Yes,,Yes,,43.20163,-79.86404
252,Education,Education,Hamilton,Binbrook Catholic Elementary School,Complete,Jan-21,Construction of new school,"New facility to accommodate 458 students in a growing community, including the construction of 49 child care spaces",Hamilton,Central,400 PUMPKIN PASS,L0R 1C0,,12759019,,Yes,,Yes,,43.13029,-79.82635
